Date,County,TotalBeds,AvailableBeds,HospitalCapacity,Hospitalized,ICU,Ventilated,AdmitPrevDay,DischPrevDay,DeltaAdmit
2020-04-02,BROWARD,6816,NA,NA,204,71,56,NA,NA,NA
2020-04-02,MIAMI-DADE,9455,NA,NA,320,130,116,NA,NA,NA
2020-04-02,PALM BEACH,4332,NA,NA,150,78,38,NA,NA,NA
2020-04-03,BROWARD,6816,NA,NA,250,87,70,143,49,94
2020-04-03,MIAMI-DADE,9455,NA,NA,346,133,116,111,33,78
2020-04-03,PALM BEACH,4332,NA,NA,171,69,60,31,12,19
2020-04-04,BROWARD,6816,NA,NA,298,98,80,41,18,23
2020-04-04,MIAMI-DADE,9455,NA,NA,416,133,112,59,37,22
2020-04-04,PALM BEACH,4332,NA,NA,170,77,75,50,47,3
2020-04-05,BROWARD,6816,NA,NA,341,96,92,83,66,17
2020-04-05,MIAMI-DADE,9455,NA,NA,533,188,146,108,19,89
2020-04-05,PALM BEACH,4332,NA,NA,180,83,73,49,15,34
2020-04-06,BROWARD,6816,NA,NA,389,122,110,71,72,-1
2020-04-06,MIAMI-DADE,9455,NA,NA,516,178,151,89,21,68
2020-04-06,PALM BEACH,4332,NA,NA,138,64,58,49,48,1
2020-04-07,BROWARD,6816,NA,NA,413,128,113,65,81,-16
2020-04-07,MIAMI-DADE,9455,NA,NA,591,199,167,76,28,48
2020-04-07,PALM BEACH,4332,NA,NA,199,84,63,64,39,25
2020-04-08,BROWARD,6816,NA,NA,391,135,119,62,108,-46
2020-04-08,MIAMI-DADE,9455,NA,NA,636,215,166,107,32,75
2020-04-08,PALM BEACH,4332,NA,NA,158,68,51,47,28,19
2020-04-09,BROWARD,6816,NA,NA,376,135,106,55,54,1
2020-04-09,MIAMI-DADE,9455,NA,NA,634,232,170,99,61,38
2020-04-09,PALM BEACH,4332,NA,NA,212,86,66,93,39,54
2020-04-10,BROWARD,6816,3575,0.5245011737089202,374,136,114,83,84,-1
2020-04-10,MIAMI-DADE,9455,4977,0.5263881544156531,681,245,172,79,37,42
2020-04-10,PALM BEACH,4332,2208,0.5096952908587258,184,90,54,46,46,0
2020-04-10,BROWARD,6816,NA,NA,380,148,120,84,72,12
2020-04-10,MIAMI-DADE,9455,NA,NA,676,251,183,73,36,37
2020-04-10,PALM BEACH,4332,NA,NA,200,99,55,48,40,8
2020-04-11,BROWARD,6816,NA,NA,370,140,115,71,80,-9
2020-04-11,MIAMI-DADE,9455,NA,NA,671,238,177,99,64,35
2020-04-11,PALM BEACH,4332,NA,NA,196,94,58,60,22,38
2020-04-12,BROWARD,6816,NA,NA,400,145,120,66,60,6
2020-04-12,MIAMI-DADE,9455,NA,NA,672,243,192,80,59,21
2020-04-12,PALM BEACH,4332,NA,NA,229,103,60,36,25,11
2020-04-12,BROWARD,6816,NA,NA,398,152,121,77,64,13
2020-04-12,MIAMI-DADE,9455,NA,NA,714,245,183,60,61,-1
2020-04-12,PALM BEACH,4332,NA,NA,228,103,63,38,26,12
2020-04-13,BROWARD,6816,NA,NA,326,128,99,72,59,13
2020-04-13,MIAMI-DADE,9455,NA,NA,653,247,184,74,47,27
2020-04-13,PALM BEACH,4332,NA,NA,239,90,54,64,38,26
2020-04-13,BROWARD,6816,NA,NA,406,146,116,84,62,22
2020-04-13,MIAMI-DADE,9455,NA,NA,695,251,184,80,48,32
2020-04-13,PALM BEACH,4332,NA,NA,242,91,57,66,39,27
2020-04-14,BROWARD,6816,2035,0.29856220657276994,400,144,116,89,60,29
2020-04-14,MIAMI-DADE,9455,3264,0.3452141723955579,653,204,146,69,41,28
2020-04-14,PALM BEACH,4332,1902,0.4390581717451524,241,89,56,65,44,21
2020-04-14,BROWARD,6816,1992,0.29225352112676056,398,140,108,107,65,42
2020-04-14,MIAMI-DADE,9455,3483,0.3683765203595981,712,249,174,86,66,20
2020-04-14,PALM BEACH,4332,1893,0.43698060941828254,204,73,48,63,49,14
2020-04-15,BROWARD,6816,1970,0.2890258215962441,387,144,112,142,136,6
2020-04-15,MIAMI-DADE,9455,3325,0.35166578529878373,693,234,169,84,76,8
2020-04-15,PALM BEACH,4332,1832,0.4228993536472761,223,85,51,74,38,36
2020-04-16,BROWARD,6816,2199,0.3226232394366197,396,147,114,136,111,25
2020-04-16,MIAMI-DADE,9455,3341,0.35335801163405606,714,223,176,77,84,-7
2020-04-16,PALM BEACH,4332,1807,0.41712834718374886,241,89,53,74,34,40
2020-04-16,BROWARD,6816,2100,0.30809859154929575,378,139,106,125,55,70
2020-04-16,MIAMI-DADE,9455,3604,0.38117398202009517,736,226,176,74,111,-37
2020-04-16,PALM BEACH,4332,1881,0.4342105263157895,250,92,54,72,38,34
2020-04-17,BROWARD,6816,2068,0.3034037558685446,376,135,106,122,63,59
2020-04-17,MIAMI-DADE,9455,3570,0.37757800105764144,706,213,172,83,107,-24
2020-04-17,PALM BEACH,4332,1807,0.41712834718374886,236,87,52,74,26,48
2020-04-17,BROWARD,6816,2132,0.31279342723004694,365,135,104,70,44,26
2020-04-17,MIAMI-DADE,9455,3471,0.3671073506081438,797,285,170,74,88,-14
2020-04-17,PALM BEACH,4332,1868,0.4312096029547553,239,88,54,60,33,27
2020-04-18,BROWARD,6816,2055,0.30149647887323944,310,107,82,68,118,-50
2020-04-18,MIAMI-DADE,9455,3455,0.3654151242728715,697,221,170,101,137,-36
2020-04-18,PALM BEACH,4332,1866,0.4307479224376731,240,91,53,62,33,29
2020-04-18,BROWARD,6816,2150,0.3154342723004695,381,125,102,64,48,16
