Date,Positive ,Negative ,PropPositive
20-Mar,23,146,13.60946746
21-Mar,53,419,11.22881356
22-Mar,83,452,15.51401869
23-Mar,44,241,15.43859649
24-Mar,90,491,15.49053356
25-Mar,154,"1,079",12.48986212
26-Mar,178,749,19.201726
27-Mar,205,"1,066",16.12903226
28-Mar,270,917,22.74641955
29-Mar,362,"1,248",22.48447205
30-Mar,278,963,22.40128928
31-Mar,461,"1,613",22.22757956
1-Apr,272,"1,569",14.77457903
2-Apr,544,2413,18.39702401
3-Apr,625,1878,24.97003596
4-Apr,531,2521,17.39842726
5-Apr,311,1260,19.79630808
6-Apr,556,2309,19.40663176
7-Apr,493,1990,19.8550141
8-Apr,488,1113,30.48094941
9-Apr,435,2636,14.16476718
10-Apr,542,2505,17.78798819
11-Apr,563,2732,17.08649469
12-Apr,364,1614,18.40242669
13-Apr,477,2267,17.38338192
14-Apr,364,1663,17.95757277
15-Apr,438,2392,15.4770318
16-Apr,536,2767,16.22767181
17-Apr,519,2901,15.1754386
18-Apr,296,1509,16.39889197
19-Apr,465,2690,14.7385103
20-Apr,413,3232,11.33058985
21-Apr,577,4230,12.00332848
22-Apr,465,2701,14.68730259
23-Apr,619,3647,14.5100797
24-Apr,552,2852,16.21621622
25-Apr,564,4136,12
26-Apr,384,2576,12.97297297
27-Apr,446,2789,13.78670788
28-Apr,213,1333,13.7774903
29-Apr,309,1704,15.35022355
30-Apr,333,3724,8.208035494
1-May,250,3616,6.466632178
2-May,144,2183,6.188225183
3-May,295,2896,9.244750862
4-May,151,3900,3.727474698
5-May,165,2231,6.886477462
6-May,153,2296,6.247447938
7-May,95,2091,4.345837145
8-May,165,2615,5.935251799
9-May,225,2208,9.24784217
10-May,159,2546,5.878003697
11-May,164,3420,4.575892857
12-May,153,1660,8.439051296
13-May,274,2214,11.01286174
14-May,213,1726,10.98504384
15-May,177,1927,8.412547529
16-May,544,3047,15.14898357
17-May,164,4218,3.742583295
18-May,123,5310,2.263942573
19-May,66,13671,0.480454248
20-May,343,7304,4.485419119
21-May,190,2649,6.692497358
22-May,158,3143,4.786428355
23-May,123,2491,4.705432288
24-May,219,5545,3.79944483
25-May,113,2819,3.854024557
26-May,100,1786,5.302226935
27-May,143,2693,5.042313117
28-May,259,5673,4.366149697
29-May,165,2458,6.290507053
30-May,202,4115,4.679175353
31-May,138,2921,4.511278195
1-Jun,83,1042,7.377777778
2-Jun,250,4639,5.113520147
3-Jun,274,4952,5.243015691
4-Jun,217,3909,5.259331071
5-Jun,233,3111,6.967703349
6-Jun,328,8882,3.561346363
7-Jun,226,2674,7.793103448
8-Jun,231,4255,5.149353544
9-Jun,247,3249,7.065217391
10-Jun,295,4861,5.721489527
11-Jun,255,3967,6.039791568
12-Jun,560,4866,10.32067822
13-Jun,523,9250,5.351478563
14-Jun,263,2732,8.78130217
15-Jun,523,5252,9.056277056
16-Jun,493,3352,12.82184655
17-Jun,561,4452,11.19090365
18-Jun,549,4444,10.99539355
19-Jun,615,4700,11.5710254
20-Jun,903,5927,13.22108346
21-Jun,511,2627,16.28425749
22-Jun,672,3059,18.01125704
23-Jun,945,3892,19.53690304
24-Jun,889,7909,10.10456922
25-Jun,1513,9146,14.19457735
26-Jun,1362,8345,14.03111157
27-Jun,2160,9961,17.82031186
28-Jun,1531,6742,18.50598332
29-Jun,1592,7403,17.69872151
30-Jun,1137,5059,18.35054874
1-Jul,2295,9395,19.63216424
2-Jul,2041,7688,20.97851783
3-Jul,2439,10392,19.00865092
4-Jul,2272,8775,20.56666968
5-Jul,1979,7927,19.97779124
6-Jul,2022,7620,20.97075296
7-Jul,2932,10431,21.94118087
8-Jul,2004,5620,26.28541448
9-Jul,2351,9242,20.279479
10-Jul,2540,9276,21.49627624
11-Jul,3573,17957,16.59544821
12-Jul,3250,12793,20.25805647
13-Jul,2116,7402,22.23156125
14-Jul,2486,9917,20.04353785
15-Jul,3095,13572,18.56962861
16-Jul,2421,10791,18.32425068
17-Jul,3135,14744,17.53453773
18-Jul,3233,12522,20.52046969
19-Jul,2860,9768,22.64808362
20-Jul,2493,10485,19.20943135
21-Jul,2750,13795,16.62133575
22-Jul,2720,11963,18.52482463
23-Jul,3346,13642,19.69625618
24-Jul,3391,13876,19.63861702
25-Jul,2904,13198,18.0350267
26-Jul,2566,11604,18.10868031
27-Jul,3030,14268,17.51647589
28-Jul,2799,14371,16.30168899
29-Jul,2759,12710,17.83567134
30-Jul,2551,14563,14.90592497
31-Jul,2745,14158,16.23972076
1-Aug,1480,8232,15.23887974
2-Aug,974,6735,12.63458295
3-Aug,1122,7045,13.73821477
4-Aug,1210,6594,15.5048693
5-Aug,1713,11659,12.81034999
6-Aug,1738,10266,14.47850716
7-Aug,1808,11643,13.44137982
8-Aug,1233,8929,12.1334383
9-Aug,1157,9620,10.7358263
10-Aug,1510,9566,13.63308053
11-Aug,1162,8655,11.83660996
12-Aug,1740,11871,12.78377783
13-Aug,1697,13798,10.95191997
14-Aug,1755,14701,10.66480311
15-Aug,937,8176,10.2820147
16-Aug,740,5291,12.26993865
17-Aug,975,8315,10.49515608
18-Aug,1121,10387,9.741049705
19-Aug,1090,10209,9.646871405
20-Aug,1159,10974,9.552460232
21-Aug,901,12393,6.777493606
22-Aug,724,7742,8.551854477
23-Aug,519,5178,9.110057925
24-Aug,811,7849,9.364896074
25-Aug,790,9510,7.669902913
26-Aug,627,7462,7.751267153
27-Aug,673,8163,7.616568583
28-Aug,607,7986,7.063889212
29-Aug,533,7509,6.627704551
30-Aug,343,4943,6.488838441
31-Aug,848,9886,7.900130427
1-Sep,338,6128,5.227343025
2-Sep,582,7377,7.312476442
3-Sep,486,7816,5.854011082
4-Sep,573,8083,6.619685767
5-Sep,351,5327,6.181754139
6-Sep,282,5332,5.023156395
7-Sep,377,6517,5.468523354
8-Sep,439,6565,6.267846945
9-Sep,464,7834,5.591708846
10-Sep,453,8988,4.798220527
11-Sep,445,9042,4.690629282
12-Sep,305,6829,4.275301374
13-Sep,260,5961,4.179392381
14-Sep,416,8089,4.891240447
15-Sep,451,9639,4.469772052
16-Sep,458,11970,3.685226907
17-Sep,409,11008,3.582377157
