County,Date,Count
Alachua,2020-04-09,4
Alachua,2020-04-18,2
Alachua,2020-04-20,1
Alachua,2020-04-21,1
Alachua,2020-04-23,1
Alachua,2020-05-10,1
Alachua,2020-05-12,1
Alachua,2020-05-24,1
Alachua,2020-06-23,1
Alachua,2020-06-28,1
Alachua,2020-06-29,2
Alachua,2020-07-01,1
Alachua,2020-07-06,2
Alachua,2020-07-07,1
Alachua,2020-07-08,1
Alachua,2020-07-09,2
Alachua,2020-07-13,1
Alachua,2020-07-16,1
Alachua,2020-07-20,1
Alachua,2020-07-21,1
Alachua,2020-07-22,1
Alachua,2020-07-24,3
Alachua,2020-07-27,1
Alachua,2020-07-29,1
Alachua,2020-07-30,1
Alachua,2020-08-02,2
Alachua,2020-08-03,2
Alachua,2020-08-04,2
Alachua,2020-08-05,2
Alachua,2020-08-08,2
Alachua,2020-08-10,2
Alachua,2020-08-11,2
Alachua,2020-08-12,1
Alachua,2020-08-13,2
Alachua,2020-08-14,2
Alachua,2020-08-15,3
Alachua,2020-08-16,1
Alachua,2020-08-17,3
Alachua,2020-08-20,1
Alachua,2020-08-21,1
Alachua,2020-08-22,1
Alachua,2020-08-23,1
Alachua,2020-08-24,3
Alachua,2020-08-27,3
Alachua,2020-09-02,1
Alachua,2020-09-09,1
Alachua,2020-09-10,1
Alachua,2020-09-11,1
Alachua,2020-09-12,1
Alachua,2020-09-15,1
Alachua,2020-09-21,2
Alachua,2020-09-26,1
Alachua,2020-09-28,1
Alachua,2020-09-29,1
Alachua,2020-09-30,1
Alachua,2020-10-03,1
Alachua,2020-10-10,1
Alachua,2020-10-11,1
Alachua,2020-10-13,1
Alachua,2020-10-15,1
Alachua,2020-10-19,3
Alachua,2020-11-08,1
Baker,2020-03-22,1
Baker,2020-03-24,1
Baker,2020-04-06,1
Baker,2020-05-12,1
Baker,2020-07-06,1
Baker,2020-07-12,1
Baker,2020-07-14,1
Baker,2020-07-16,1
Baker,2020-07-25,1
Baker,2020-07-30,1
Baker,2020-08-08,1
Baker,2020-08-11,1
Baker,2020-08-17,1
Baker,2020-08-20,1
Baker,2020-08-25,1
Baker,2020-09-04,2
Baker,2020-09-14,1
Baker,2020-09-30,1
Baker,2020-10-06,1
Baker,2020-10-10,1
Baker,2020-10-14,1
Baker,2020-10-15,2
Baker,2020-10-17,1
Baker,2020-10-19,1
Baker,2020-10-27,1
Baker,2020-10-28,1
Baker,2020-11-05,1
Bay,2020-04-02,1
Bay,2020-04-03,1
Bay,2020-04-19,1
Bay,2020-05-23,1
Bay,2020-06-05,1
Bay,2020-06-22,1
Bay,2020-06-23,1
Bay,2020-06-25,1
Bay,2020-06-28,1
Bay,2020-07-02,2
Bay,2020-07-04,1
Bay,2020-07-06,3
Bay,2020-07-07,1
Bay,2020-07-09,2
Bay,2020-07-10,4
Bay,2020-07-11,1
Bay,2020-07-12,3
Bay,2020-07-13,1
Bay,2020-07-14,2
Bay,2020-07-15,1
Bay,2020-07-16,3
Bay,2020-07-17,1
Bay,2020-07-18,5
Bay,2020-07-19,5
Bay,2020-07-20,2
Bay,2020-07-21,3
Bay,2020-07-22,2
Bay,2020-07-23,3
Bay,2020-07-24,6
Bay,2020-07-25,5
Bay,2020-07-26,1
Bay,2020-07-27,2
Bay,2020-07-28,4
Bay,2020-07-29,2
Bay,2020-07-30,1
Bay,2020-07-31,3
Bay,2020-08-01,2
Bay,2020-08-02,2
Bay,2020-08-05,2
Bay,2020-08-06,1
Bay,2020-08-07,5
Bay,2020-08-10,1
Bay,2020-08-12,2
Bay,2020-08-13,2
Bay,2020-08-14,6
Bay,2020-08-15,2
Bay,2020-08-17,1
Bay,2020-08-19,1
Bay,2020-08-20,2
Bay,2020-08-21,4
Bay,2020-08-22,1
Bay,2020-08-25,1
Bay,2020-08-26,1
Bay,2020-08-30,2
Bay,2020-09-01,1
Bay,2020-09-05,1
Bay,2020-09-06,1
Bay,2020-09-08,3
Bay,2020-09-09,1
Bay,2020-09-10,2
Bay,2020-09-13,1
Bay,2020-09-14,4
Bay,2020-09-17,1
Bay,2020-09-19,2
Bay,2020-09-24,1
Bay,2020-09-25,1
Bay,2020-09-28,2
Bay,2020-09-30,1
Bay,2020-10-05,1
Bay,2020-10-06,1
Bay,2020-10-10,2
Bay,2020-10-16,1
Bay,2020-10-19,1
Bay,2020-10-20,1
Bay,2020-11-06,1
Bradford,2020-03-29,1
Bradford,2020-04-07,1
Bradford,2020-07-11,1
Bradford,2020-07-17,1
Bradford,2020-07-18,1
Bradford,2020-08-05,1
Bradford,2020-08-14,1
Bradford,2020-08-17,1
Bradford,2020-08-23,1
Bradford,2020-08-28,1
Bradford,2020-08-31,1
Bradford,2020-09-02,1
Bradford,2020-09-04,1
Bradford,2020-09-10,1
Bradford,2020-09-13,1
Bradford,2020-10-20,1
Brevard,2020-03-27,1
Brevard,2020-04-01,1
Brevard,2020-04-03,2
Brevard,2020-04-08,1
Brevard,2020-04-10,1
Brevard,2020-04-11,2
